claim,claim_label,topic,date_published,count,count2,focus,release
A billboard in Finland states that it is legal for refugees to rape women.            ,150,fauxtography,11-Jan-16,1,1,fauxtography,11-Jan-16
"A billboard that says ""Make America White Again"" is part of a political campaign.",750,fauxtography,22-Jun-16,4,2,fauxtography,22-Jun-16
A biotech company has developed a 3D synthetic rhino horn that will eventually undercut the market for poached horns.,450,business,11-Jul-16,4,2,business,11-Jul-16
A bison calf was euthanized at Yellowstone National Park after well-meaning tourists put it in their car to keep it warm.            ,750,critter_country,18-May-16,7,2.645751311,critter_country,18-May-16
"A Black Lives Matter protest in Memphis obstructed I-40, leading to the death of a critically ill child transplant patient.            ",150,crime,11-Jul-16,4,2,crime,11-Jul-16
A black woman named Amelia Bassano has been proved the true (uncredited) author of all of William Shakespeare's plays.            ,150,language,20-Aug-15,4,2,language,20-Aug-15
A black-and-white photograph shows children playing on  frighteningly dangerous (by modern standards)  playground equipment in a public park.,750,fauxtography,12-Sep-16,6,2.449489743,fauxtography,12-Sep-16
A bloody knife was recently uncovered on the grounds of O.J. Simpson's former home.            ,450,crime,4-Mar-16,5,2.236067977,crime,4-Mar-16
A browser extension can eliminate all mention of Donald Trump from a user's online experience.            ,750,fauxtography,6-Jan-16,8,2.828427125,fauxtography,6-Jan-16
A California halfway house resident was promised $300 if he voted for Hillary Clinton.            ,150,politics,31-Oct-16,7,2.645751311,politics,31-Oct-16
A California man was arrested in April 2016 for dressing in women's clothes and surreptitiously filming women in a public bathroom.,300,politics,15-Apr-16,4,2,politics,15-Apr-16
"A California pastor praised the Orlando nightclub shooting, saying that it's a tragedy more homosexual ""predators"" and ""pedophiles"" didn't die.            ",750,politics,18-Jun-16,1,1,politics,18-Jun-16
A California Senate bill gives the state the right to seize children from their families            ,150,fake_news,12-Dec-16,8,2.828427125,fake_news,12-Dec-16
A can of cookie dough exploded inside a woman's vagina during a shoplifting incident at Walmart.,150,fake_news,16-Dec-15,4,2,fake_news,16-Dec-15
A Canadian teen discovered a lost Mayan city using satellite maps.            ,300,fauxtography,11-May-16,6,2.449489743,fauxtography,11-May-16
A candidate named Vermin Supreme is running for President in 2016 on a platform of free ponies for everyone.            ,450,politics,26-Jan-16,7,2.645751311,politics,26-Jan-16
A Carbon Monoxide spike on the west coast indicates that a massive earthquake will soon hit.            ,150,politics,1-Mar-16,12,3.464101615,politics,1-Mar-16
A cardinal announced that the Catholic Church no longer believes that Jesus will return.            ,150,fake_news,27-Jul-16,2,1.414213562,fake_news,27-Jul-16
A cartoon from Norway depicting Donald Trump in a diaper was banned from Twitter.,150,politics,6-Jan-17,2,1.414213562,politics,6-Jan-17
"A casting call for a Latina actress to play a ""Donald Trump Executive Assistant Supporter"" was posted by the republican presidential candidate.            ",450,politics,8-Mar-16,3,1.732050808,politics,8-Mar-16
A Catholic priest placed an aborted fetus on the altar to urge parishioners to vote for Trump.,750,politics,8-Nov-16,3,1.732050808,politics,8-Nov-16
A Certified Registration of Birth issued in Kenya documents that Barack Obama was born in that country.            ,150,political_news,7-Aug-09,6,2.449489743,political_news,7-Aug-09
A child developed third-degree sunburn after using Dollar General brand spray-on sunblock.,150,medical,17-Jun-15,2,1.414213562,medical,17-Jun-15
"A child suffocated while playing a ""Chubby Bunny"" marshmallow-stuffing game.              ",750,horrors,17-Mar-06,1,1,horrors,17-Mar-06
"A Chinese restaurant in Coral Springs, Florida was busted serving dog meat.            ",150,fake_news,29-Dec-16,3,1.732050808,fake_news,29-Dec-16
"A circulating list of nine historical ""facts"" about slavery accurately details the participation of non-whites in slave ownership and trade in America.            ",450,history,17-Aug-16,10,3.16227766,history,17-Aug-16
A clown was arrested after police found eleven human bodies stuffed in a freezer at his residence.,150,fake_news,16-Oct-16,1,1,fake_news,16-Oct-16
A clueless U.S. government official ordered half the cattle guards in Colorado be fired.            ,150,humor,20-Sep-00,1,1,humor,20-Sep-00
A college student wound up in a coma after ingesting two gallons of semen as part of a social media challenge.            ,150,fake_news,6-May-16,5,2.236067977,fake_news,6-May-16
"A Colorado school's female students were forced to adhere to ""Sharia rules"" when visiting a mosque on a field trip.",300,politics,3-Feb-16,7,2.645751311,politics,3-Feb-16
A column written by Clinton adviser-turned-opponent Dick Morris pointed out details elided in a 2007 Hillary Clinton campaign ad narrated by President Bill Clinton.            ,450,politics,20-Jan-16,12,3.464101615,politics,20-Jan-16
A computer infected by malware proved a Vermont power company has been targeted for disruption by Russian hackers.,300,politics,3-Jan-17,6,2.449489743,politics,3-Jan-17
A Congresswoman called for hurricanes to be given African-American names.            ,750,humor,25-Mar-06,3,1.732050808,humor,25-Mar-06
A convicted pedophile rapist was caught using a clown costume to hide in a child's room.,150,fake_news,11-Dec-15,1,1,fake_news,11-Dec-15
"A couple bought a ""Princess"" Beanie Baby worth Â£62,500 for just Â£10.",150,business,21-Apr-15,3,1.732050808,business,21-Apr-15
A couple determined their tip to a waitress by dangling five $1 bills at the table.            ,750,viral_phenomena,9-Dec-16,5,2.236067977,viral_phenomena,9-Dec-16
A couple on crystal meth ate parts of a homeless person.,150,fake_news,3-Feb-16,2,1.414213562,fake_news,3-Feb-16
A court ruling means priests in Louisiana don't have to report sexual abuse.,600,crime,3-Nov-16,3,1.732050808,crime,3-Nov-16
"A cryptic blog called ""Two Droplets"" told the story of the catastrophic effect of two droplets of drain cleaner on a family's life.            ",0,fauxtography,17-Feb-16,13,3.605551275,fauxtography,17-Feb-16
A customer discovered a deceased and discarded baby in a Kentucky Walmart's discount DVD bin.            ,150,fake_news,17-Aug-16,1,1,fake_news,17-Aug-16
A customer found a deep-fried rat head in a Popeyes Chicken meal in Harlem.,0,food,20-Sep-16,3,1.732050808,food,20-Sep-16
A customer found live worms in a sealed Little Debbie Oatmeal Pie.            ,300,food,21-Jun-16,4,2,food,21-Jun-16
A customer found maggots inside a new jar of Bertolli tomato sauce.            ,300,food,16-Feb-16,10,3.16227766,food,16-Feb-16
A customer of Huck Finn's Cafe in New Orleans discovered a racist epithet on her receipt.            ,600,fauxtography,31-May-16,2,1.414213562,fauxtography,31-May-16
A Danish woman fertilized her own eggs with the frozen sperm of her deceased father.,150,fake_news,16-Oct-16,3,1.732050808,fake_news,16-Oct-16
"A Darboy Walmart shopper encountered human traffickers using an unexpected menstrual period as a ruse, and a nearby police officer confirmed the interaction was a ""new trick"" used to abduct women.            ",150,crime,8-Aug-16,7,2.645751311,crime,8-Aug-16
A daughter expressed her not-so-warm feelings about her deceased mother by running a scathing and caustic obituary.            ,750,humor,20-Aug-08,2,1.414213562,humor,20-Aug-08
"A dead gorilla named Harambe received 15,000 votes in the 2016 U.S. presidential election.",150,fake_news,9-Nov-16,4,2,fake_news,9-Nov-16
"A December 2015 school shooting in Arapahoe County, Colorado was circumvented by an armed school resource officer.            ",450,politics,18-Dec-15,14,3.741657387,politics,18-Dec-15
A deceptive photograph shows a man perilously hanging by his feet from the edge of a high cliff.            ,450,fauxtography,21-Dec-15,2,1.414213562,fauxtography,21-Dec-15
A Denver man murdered a woman whose behavior was inspired by the #WasteHisTime hashtag on Twitter.            ,150,fake_news,12-Jan-16,14,3.741657387,fake_news,12-Jan-16
A diet rich in vitamin D can reverse tooth decay and regrow portions of teeth lost to cavities.,150,fauxtography,15-Oct-16,11,3.31662479,fauxtography,15-Oct-16
A Disney cartoon shows Mickey Mouse using an unusual method to make Swiss cheese.,150,disney,6-May-15,4,2,disney,6-May-15
A DNA test proved that a retired postman fathered more than 1300 illegitimate children.            ,150,fake_news,29-Feb-16,3,1.732050808,fake_news,29-Feb-16
"A DNC staffer was killed in a ""mysterious explosion"" following the unsolved murder of a young man in Washington, D.C.",150,fake_news,12-Aug-16,4,2,fake_news,12-Aug-16
A doctor discovered a boy's missing hamster decomposing between folds of his mother's back fat.            ,150,fake_news,1-Jun-16,5,2.236067977,fake_news,1-Jun-16
A document held by a potential Trump cabinet member reveals his immigration plans.,450,politics,21-Nov-16,5,2.236067977,politics,21-Nov-16
A dog named Daisy rescued hundreds of people from the damaged World Trade Center towers on 9/11.,150,september_11th,6-Nov-01,3,1.732050808,september_11th,6-Nov-01
A Doonesbury comic from 1999 predicted Donald Trump's presidential run in 2016.,450,politics,15-Sep-16,2,1.414213562,politics,15-Sep-16
"A drawing of a sex act can be spotted in the closing scenes of the movie ""Monsters, Inc.""            ",150,disney,24-May-16,2,1.414213562,disney,24-May-16
"A driver in Las Vegas shouted ""Allahu Akbar"" as she deliberately struck multiple pedestrians with her vehicle, and police have been instructed to suppress that detail of the story.            ",150,computers,21-Dec-15,25,5,computers,21-Dec-15
A Facebook message requesting Christmas cards for 8-year-old burn victim Safyre Terry is legit.            ,750,viral_phenomena,9-Dec-15,16,4,viral_phenomena,9-Dec-15
A Facebook page is giving away luxury RV's to users who like and share their page.            ,150,inboxer_rebellion,22-Jul-16,3,1.732050808,inboxer_rebellion,22-Jul-16
A Fairfax County schoolteacher informed a student's mother that her black child was singled out by other students as likely to be deported if Donald Trump were elected.            ,750,politics,7-Mar-16,5,2.236067977,politics,7-Mar-16
A fake_news article reported that a cross-eyed woman cut off her partner's penis after he refused to look her in the eye during sex.,150,fake_news,7-Sep-16,2,1.414213562,fake_news,7-Sep-16
"A family in Mexico named their baby daughter ""Breksit,"" after the results of Britain's EU referendum.            ",150,language,29-Jun-16,10,3.16227766,language,29-Jun-16
A fan was beaten up by moviegoers after spoiling the new Star Wars movie.            ,150,fake_news,20-Dec-15,2,1.414213562,fake_news,20-Dec-15
A fatal wave of molasses swept through Boston in January 1919.,750,horrors,31-Dec-98,1,1,horrors,31-Dec-98
A father posted a picture of his baby with a gun on Facebook just before he posted that he needed 911 because she shot herself.,150,fake_news,28-Oct-16,6,2.449489743,fake_news,28-Oct-16
"A federal gun law was passed in September 2016 which will prevent people from practicing ""open carry"" in all 50 states.",150,fake_news,21-Sep-16,1,1,fake_news,21-Sep-16
"A federal judge ruling in a defamation suit declared that CNN was ""fake_news.""",300,fake_news,17-Feb-17,4,2,fake_news,17-Feb-17
A female mortuary worker was arrested after becoming pregnant by one of the corpses she was preparing for burial.,150,fake_news,2-Dec-10,1,1,fake_news,2-Dec-10
A fervent Hillary Clinton supporter ran her husband down with an SUV because she found out he voted for Donald Trump.            ,150,fake_news,16-Nov-16,3,1.732050808,fake_news,16-Nov-16
"A fisherman captured a 3,000 lb. great white shark in the Great Lakes.            ",150,fake_news,22-Jun-16,5,2.236067977,fake_news,22-Jun-16
A Florida drug trafficker pardoned by President Obama was re-arrested three months later for the murder of his girlfriend.,150,fake_news,6-Mar-17,4,2,fake_news,6-Mar-17
"A Florida judge ruled that the government can ban vegetable gardens because they're ""ugly.""            ",300,politics,16-Sep-16,5,2.236067977,politics,16-Sep-16
A Florida man was emasculated during an attempt to engage in sexual relations with a pit bull.            ,150,fake_news,13-Jan-16,9,3,fake_news,13-Jan-16
A former Army sniper shot three violent home intruders in the course of their victimizing a neighbor's household.,150,fake_news,12-Jan-17,5,2.236067977,fake_news,12-Jan-17
"A forthcoming Russian reality show called ""Game2: Winter"" will permit contestants to commit crimes, including rape and murder.            ",150,entertainment,16-Dec-16,3,1.732050808,entertainment,16-Dec-16
"A four-pronged alien space craft was spotted by the International Space Station, but NASA is covering it up.",300,fake_news,26-Oct-16,2,1.414213562,fake_news,26-Oct-16
A gang of Muslim women beat up a French bikini-clad woman because her swimwear violated their religious beliefs.            ,150,crime,30-Jul-15,3,1.732050808,crime,30-Jul-15
A general finds a good comeback when asked about the wisdom of teaching Boy Scouts to shoot.            ,150,politics,13-Sep-00,1,1,politics,13-Sep-00
A giant asteroid is expected to hit the earth in July 2016.            ,150,fake_news,12-Jul-16,5,2.236067977,fake_news,12-Jul-16
"A GIF shows a photographer's 'perfect timing,' setting off a camera's flash just as a gymnast performed a midair split.",750,fauxtography,17-Aug-16,3,1.732050808,fauxtography,17-Aug-16
A girl named Laura Buxton released a balloon that ended up in the hands of another girl named Laura Buxton who lived 140 miles away.            ,600,inboxer_rebellion,29-Apr-13,1,1,inboxer_rebellion,29-Apr-13
A girl on an amusement park ride was scalped when her hair got caught in the attraction's machinery.            ,750,horrors,22-May-01,2,1.414213562,horrors,22-May-01
"A government report from 2008 states that 35,000 veterans of the first Gulf War died as a direct result of adverse effects from an Anthrax vaccine they were mandated to receive.",300,medical,18-Jan-17,3,1.732050808,medical,18-Jan-17
A groundbreaking study showing that algae can draw an alternative source of energy from other plants suggests that humans might be able to draw energy from each other in a similar way.            ,150,science,2-Nov-16,6,2.449489743,science,2-Nov-16
"A group called the Satanic Temple wants to establish After School Satan Clubs in public schools to introduce children to the ""religion of darkness.""            ",450,religion,1-Aug-16,4,2,religion,1-Aug-16
A group of Muslims tore down a Christmas tree in Italy.,150,fauxtography,15-Dec-16,4,2,fauxtography,15-Dec-16
A group of Trump supporters misspelled the candidate's name on their shirts.            ,150,politics,24-Jan-16,2,1.414213562,politics,24-Jan-16
A gruesome image depicts children kidnapped and killed by organ traffickers in Thailand.            ,150,fauxtography,6-Dec-16,6,2.449489743,fauxtography,6-Dec-16
"A gruesome photograph of a shredded hand depicts a ""new punishment for reading the Bible"" in Saudi Arabia.            ",150,fauxtography,18-Dec-15,6,2.449489743,fauxtography,18-Dec-15
A Gucci ensemble worn by Trump counselor Kellyanne Conway to the inauguration closely resembled a 1970s 'Simplicity' pattern.            ,150,fauxtography,25-Jan-17,8,2.828427125,fauxtography,25-Jan-17
"A handful of 1970s quarters are worth a fortune, as they were minted on the back of a 1941 Canadian coin.            ",450,business,7-Jun-16,5,2.236067977,business,7-Jun-16
A 'Harry Potter Dementor' figure was photographed above a shopping center in Zambia.,150,fauxtography,6-Mar-17,7,2.645751311,fauxtography,6-Mar-17
A Harvard study proved instant noodles and ramen can cause irreversible damage to your body.,300,food,6-Jul-16,4,2,food,6-Jul-16
"A Harvard Study showed that Tibetan Monks can significantly raise the temperature of their fingers, toes and other extremities through meditation alone.",750,science,12-Nov-16,8,2.828427125,science,12-Nov-16
A Hawaii state official recently came forward with proof that President Barack Obama's birth certificate was not legitimate.            ,150,politics,18-Aug-15,16,4,politics,18-Aug-15
A headstone marking the burial site of a 4-year-old boy was removed because its shape violated cemetery rules.,750,viral_phenomena,26-Dec-16,2,1.414213562,viral_phenomena,26-Dec-16
A hedge fund manager named Jared Price won the $1.6 billion Powerball lottery.            ,150,fake_news,14-Jan-16,5,2.236067977,fake_news,14-Jan-16
A high school boy was shot by a police officer who mistook his saxophone for a gun.            ,150,fake_news,27-Aug-16,3,1.732050808,fake_news,27-Aug-16
"A high student was forced to leave school because an assistant principal found his Captain America costume to be ""offensive.""            ",300,fauxtography,10-Feb-16,4,2,fauxtography,10-Feb-16
"A highway sign in Maryland told drivers to ""Consider Canada"" due to inauguration traffic.",150,fauxtography,20-Jan-17,3,1.732050808,fauxtography,20-Jan-17
"A hiker stumbled across a scary ""shrine"" made out of missing persons posters.            ",150,fauxtography,5-Oct-16,2,1.414213562,fauxtography,5-Oct-16
A Hillary Clinton supporter defecated on a sign in protest of Donald Trump.,150,fauxtography,11-Nov-16,9,3,fauxtography,11-Nov-16
A Hillary Clinton supporter in North Carolina voted multiple times using his friends' identities.,150,politics,29-Oct-16,1,1,politics,29-Oct-16
A homeowner shot and killed a teenaged boy trespassing during a round of Pokemon Go.            ,150,fake_news,13-Jul-16,3,1.732050808,fake_news,13-Jul-16
A hot microphone picked up President Obama telling Russian President Dmitri Medvedev he would have more flexibility to negotiate on issues like missile defense after the 2012 election.,750,politics,13-Dec-16,5,2.236067977,politics,13-Dec-16
A hunter from Michigan was nearly killed by a sexually voracious moose.            ,150,fake_news,16-Nov-16,3,1.732050808,fake_news,16-Nov-16
A judge has called for the FBI and U.S. Marshals to arrest the President.            ,150,politics,11-Dec-15,11,3.31662479,politics,11-Dec-15
"A Kentucky food stamp recipient has more than $5,000 in unused food stamp benefits and is thus abusing the system.",150,food,31-Aug-16,3,1.732050808,food,31-Aug-16
A KFC promotion offered Extra Crispy Sunscreen to consumers.,750,business,23-Aug-16,4,2,business,23-Aug-16
A Knoxville man was killed in a fiery collision caused by a wrong-way driver playing Pokemon Go.            ,450,crime,22-Jul-16,1,1,crime,22-Jul-16
A lack of media attention regarding a $12 billion reduction to the national debt during President Trumpâ€™s first month in office is attributable to biased news coverage.,450,politics,27-Feb-17,11,3.31662479,politics,27-Feb-17
A landline disengaged from its cradle will eventually self-dial 911.            ,150,technology,12-Dec-16,8,2.828427125,technology,12-Dec-16
A Las Vegas couple was arrested for modifying their baby's ears to make them pointed like a Vulcan's.,150,fake_news,23-Jun-16,2,1.414213562,fake_news,23-Jun-16
"A law firm working with Donald Trump was named ""Russia Law Firm of the Year.""",600,politics,11-Jan-17,6,2.449489743,politics,11-Jan-17
A law in Iowa forbids people from kissing for more than five minutes.            ,300,politics,12-Apr-16,8,2.828427125,politics,12-Apr-16
A law in Japan makes it illegal for citizens of that country to be fat.            ,300,medical,2-Jan-15,4,2,medical,2-Jan-15
A law professor is working to take Donald Trump's election win away by appealing to electoral college voters.            ,750,politics,15-Dec-16,2,1.414213562,politics,15-Dec-16
"A law student named John J. Wall penned a ""divorce letter"" to the U.S.            ",300,politics,3-Oct-16,9,3,politics,3-Oct-16
"A lawyer for Tashfeen Malik asked the media not to show photographs of her face because doing so was offensive to Muslims, and MSNBC host Melissa Harris-Perry criticized the New York Times for publishing such pictures.            ",150,politics,9-Dec-15,6,2.449489743,politics,9-Dec-15
A leaked Clinton Foundation e-mail demonstrates collusion between the organization and media personality John Oliver.            ,150,politics,7-Oct-16,7,2.645751311,politics,7-Oct-16
"A leaked e-mail from former National Endowment for the Arts chairman Bill Ivey to Clinton campaign manager John Podesta revealed a Democratic ""master plan"" to ""create an 'unaware' and 'compliant' citizenry.""            ",150,politics,11-Oct-16,4,2,politics,11-Oct-16
"A leaked e-mail revealed Clinton aide Cheryl Mills calling the men who died in Benghazi ""idiot soldiers"" and saying she was glad they were tortured.            ",150,politics,24-Oct-16,13,3.605551275,politics,24-Oct-16
A leaked video depicts a human sacrifice conducted by researchers at the CERN nuclear research facility.,150,fauxtography,17-Aug-16,13,3.605551275,fauxtography,17-Aug-16
A lesbian was removed from a women's bathroom by police in North Carolina because she wasn't feminine enough.            ,450,fauxtography,28-Apr-16,6,2.449489743,fauxtography,28-Apr-16
A letter criticizing students at Oxford University for their desire to remove a statue of Cecil Rhodes was penned by a school official.            ,150,politics,12-Apr-16,11,3.31662479,politics,12-Apr-16
A letter to radio personality Dr. Laura highlights fallacies in Biblical anti-homosexual arguments.            ,750,political_news,9-Mar-04,1,1,political_news,9-Mar-04
A list  documents the myriad reasons why people were committed to insane asylums in the 19th century.,600,history,9-Feb-16,4,2,history,9-Feb-16
"A list authored by Roman statesman Cicero describes ""the situation during his lifetime.""            ",150,questionable_quotes,24-Jul-16,1,1,questionable_quotes,24-Jul-16
A list circulating online contains 50 false statements by President Barack Obama            ,450,political_news,8-Jul-09,16,4,political_news,8-Jul-09
A list cites instances proving voter fraud in the 2012 U.S. presidential election.            ,150,political_news,7-Jan-13,11,3.31662479,political_news,7-Jan-13
A list collect passages about racism taken from Barack Obama's books.            ,450,political_news,21-May-08,1,1,political_news,21-May-08
A list collects statements about rape made by Republican politicians.            ,750,political_news,27-Feb-14,4,2,political_news,27-Feb-14
A list of 'A Country Founded by Geniuses but Run by Idiots' entries originated with comedian Jeff Foxworthy.            ,150,humor,28-Jun-13,4,2,humor,28-Jun-13
A list of coincidences connecting the number 108 to the Chicago Cubs world series victory in 2016 is accurate.            ,600,sports,3-Nov-16,10,3.16227766,sports,3-Nov-16
"A list of some of President Obama's economic accomplishments shows all he has done, even hampered by political obstructionism.            ",600,politics,12-Jul-16,4,2,politics,12-Jul-16
A list of statistics shows the leading causes of death in the United States through the first half of 2016.,450,politics,22-Jun-16,5,2.236067977,politics,22-Jun-16
A list of ten steps on how to be a good wife comes from a 1950s U.S. home economics textbook.            ,300,history,18-Mar-01,2,1.414213562,history,18-Mar-01
A list of 'Which Side of the Fence?' entries originated with comedian Jeff Foxworthy.            ,150,humor,29-Jan-13,4,2,humor,29-Jan-13
"A list reproduces Saul Alinsky's rules for ""How to Create a Social State.""            ",150,political_news,21-Jan-14,2,1.414213562,political_news,21-Jan-14
A list shows documents that several prominent news media executives have ties to the Obama administration.            ,450,politics,15-Jul-16,11,3.31662479,politics,15-Jul-16
A list tallies some of the good deeds accomplished by Republican presidential candidate Donald Trump.,450,politics,25-Jul-16,13,3.605551275,politics,25-Jul-16
"A little-known painting entitled ""Cat Prevents House Fire"" was created by Norman Rockwell.",150,fauxtography,26-May-16,3,1.732050808,fauxtography,26-May-16
